"term","freq"
"send",55
"several",55
"so many",55
"students",55
"that they",55
"wanna",55
"we were",55
"what a",55
"a big",54
"cut",54
"definitely",54
"do not",54
"end of",54
"front",54
"just a",54
"local",54
"may be",54
"n",54
"national",54
"of our",54
"pay",54
"sad",54
"sometimes",54
"to work",54
"understand",54
"walk",54
"wonderful",54
"x",54
"behind",53
"dinner",53
"fans",53
"follow me",53
"four",53
"i dont",53
"learn",53
"matter",53
"not to",53
"parents",53
"problem",53
"rest",53
"this year",53
"visit",53
"you to",53
"and my",52
"area",52
"ha",52
"late",52
"let me",52
"looked",52
"love you",52
"of you",52
"pick",52
"saturday",52
"seeing",52
"seem",52
"son",52
"there was",52
"tried",52
"wanted to",52
"weather",52
"woman",52
"write",52
"child",51
"five",51
"he has",51
"i guess",51
"i really",51
"is an",51
"is so",51
"know what",51
"pictures",51
"rock",51
"short",51
"super",51
"trip",51
"ya",51
"you for",51
"you will",51
"available",50
"break",50
"doesnt",50
"event",50
"eyes",50
"gotta",50
"i didn't",50
"information",50
"it will",50
"of them",50
"red",50
"street",50
"wants",50
"we had",50
"young",50
"center",49
"church",49
"date",49
"e",49
"fall",49
"gave",49
"government",49
"history",49
"into a",49
"know that",49
"listening",49
"love to",49
"luck",49
"my life",49
"needed",49
"no one",49
"of his",49
"out and",49
"out to",49
"such a",49
"thanks to",49
"the whole",49
"through the",49
"we can",49
"who is",49
"a couple",48
"although",48
"cannot",48
"chance",48
"congrats",48
"dead",48
"door",48
"drink",48
"finished",48
"gone",48
"happened",48
"it has",48
"lots",48
"media",48
"ready to",48
"store",48
"to tell",48
"town",48
"turned",48
"up with",48
"wait to",48
"album",47
"alone",47
"april",47
"band",47
"bed",47
"eating",47
"feels",47
"fuck",47
"given",47
"green",47
"hour",47
"likely",47
"lunch",47
"me and",47
"most of",47
"near",47
"picture",47
"see the",47
"she's",47
"text",47
"what you",47
"you and",47
"across",46
"and all",46
"cheese",46
"company",46
"don't know",46
"dream",46
"i hate",46
"including",46
"it was a",46
"join",46
"lives",46
"looks like",46
"me i",46
"of their",46
"of these",46
"out of the",46
"p",46
"record",46
"service",46
"spent",46
"sun",46
"system",46
"the right",46
"they have",46
"this morning",46
"you think",46
"a long",45
"body",45
"boys",45
"brought",45
"check out",45
"cold",45
"dog",45
"got a",45
"hair",45
"happen",45
"human",45
"in our",45
"it i",45
"it would",45
"love the",45
"mad",45
"met",45
"off the",45
"personal",45
"possible",45
"she is",45
"to come",45
"truly",45
"truth",45
"used to",45
"usually",45
"when we",45
"you do",45
"action",44
"been a",44
"boy",44
"by a",44
"create",44
"dude",44
"fan",44
"fast",44
"for all",44
"for this",44
"from a",44
"how much",44
"i have to",44
"knows",44
"last night",44
"longer",44
"lots of",44
"march",44
"members",44
"people who",44
"rain",44
"recipe",44
"schools",44
"series",44
"style",44
"this time",44
"up in",44
"and he",43
"anyway",43
"around the",43
"changes",43
"entire",43
"first time",43
"hope you",43
"level",43
"looking for",43
"mark",43
"middle",43
"million",43
"monday",43
"mother",43
"o",43
"of all",43
"omg",43
"questions",43
"space",43
"spring",43
"takes",43
"this weekend",43
"to help",43
"voice",43
"working on",43
"above",42
"account",42
"and to",42
"are a",42
"based",42
"be able",42
"followers",42
"get it",42
"hands",42
"having a",42
"he said",42
"i need to",42
"is one",42
"market",42
"my favorite",42
"out there",42
"paul",42
"re",42
"she was",42
"sign",42
"sister",42
"site",42
"the house",42
"the one",42
"they're",42
"would have",42
"you'll",42
"you don't",42
"you get",42
"and not",41
"be able to",41
"begin",41
"beginning",41
"bitch",41
"case",41
"challenge",41
"choice",41
"cup",41
"death",41
"decided to",41
"exactly",41
"for your",41
"ideas",41
"it's not",41
"listen",41
"of us",41
"running",41
"seriously",41
"speak",41
"tell me",41
"that he",41
"the end of",41
"tired",41
"up on",41
"we need",41
"with you",41
"absolutely",40
"after the",40
"as we",40
"completely",40
"could be",40
"deal",40
"fresh",40
"happens",40
"huge",40
"i wanted",40
"if it",40
"if the",40
"it all",40
"it out",40
"la",40
"learning",40
"link",40
