"term","freq"
"a fan of",6
"a few hours",6
"a few years",6
"a glass of",6
"a good day",6
"a good thing",6
"a great deal",6
"a kind of",6
"a lot to",6
"a pair of",6
"a reason to",6
"a variety of",6
"able to find",6
"able to get",6
"according to the",6
"all of a",6
"all of these",6
"all of you",6
"along with the",6
"and a little",6
"and all of",6
"and i can't",6
"and lots of",6
"and not just",6
"and thank you",6
"and then the",6
"are a lot",6
"as one of",6
"at the very",6
"awkward moment when",6
"be the first",6
"because it was",6
"beginning of the",6
"blah blah blah",6
"but i know",6
"but i love",6
"but if you",6
"but in the",6
"but when i",6
"by the end",6
"can be used",6
"did you get",6
"do the same",6
"don't know what",6
"dont want to",6
"even if you",6
"even though i",6
"feel like a",6
"feeling like a",6
"first time in",6
"for a couple",6
"for all your",6
"for the best",6
"for the new",6
"for the support",6
"for you to",6
"front of the",6
"get on the",6
"get rid of",6
"go with the",6
"going to do",6
"going to have",6
"going to make",6
"had a blast",6
"had no idea",6
"had so much",6
"had to be",6
"happy birthday to",6
"have a lot",6
"have had the",6
"have no idea",6
"have so much",6
"have to admit",6
"he is a",6
"here are some",6
"here we go",6
"how did you",6
"how i feel",6
"how many people",6
"i'd love to",6
"i'm in the",6
"i'm pretty sure",6
"i am in",6
"i could get",6
"i didn't get",6
"i do have",6
"i don't care",6
"i don't understand",6
"i found myself",6
"i found out",6
"i get a",6
"i get my",6
"i get to",6
"i got the",6
"i got to",6
"i had been",6
"i have so",6
"i just want",6
"i know you",6
"i look forward",6
"i love how",6
"i made the",6
"i really want",6
"i see you",6
"i still have",6
"i think they",6
"i think we",6
"i think you",6
"i wake up",6
"i was so",6
"i was wondering",6
"i woke up",6
"if it is",6
"if it were",6
"if you need",6
"in a month",6
"in and out",6
"in fact i",6
"in fact the",6
"in new york",6
"in one of",6
"in the back",6
"in the united",6
"in the way",6
"is in the",6
"is that you",6
"is the same",6
"is why i",6
"it's time for",6
"it for a",6
"it was in",6
"it was not",6
"it was time",6
"just a little",6
"just going to",6
"just got a",6
"just had a",6
"just have to",6
"just want to",6
"like i said",6
"like i was",6
"like to see",6
"live in the",6
"looked at the",6
"looking for a",6
"looking for the",6
"lot of the",6
"made it to",6
"make it to",6
"me that i",6
"more and more",6
"most of us",6
"much as i",6
"need to do",6
"new york ny",6
"nice to meet",6
"no one is",6
"not so much",6
"now it is",6
"of course the",6
"of the first",6
"of the real",6
"of the season",6
"of what i",6
"of you have",6
"off to a",6
"on how to",6
"on my phone",6
"on the bus",6
"on the floor",6
"on the phone",6
"one of them",6
"osama bin laden",6
"out in the",6
"out of it",6
"people who are",6
"set up a",6
"should be a",6
"so i am",6
"so i could",6
"so much more",6
"so much that",6
"so that i",6
"some of them",6
"some of these",6
"some of you",6
"sounds like a",6
"stuck in my",6
"thanks for sharing",6
"thanks to all",6
"that's what i",6
"that i was",6
"that it would",6
"that she is",6
"that there is",6
"that they are",6
"that we have",6
"the bottom of",6
"the center of",6
"the day when",6
"the death of",6
"the face of",6
"the hell is",6
"the hunger games",6
"the life of",6
"the new year",6
"the night before",6
"the other hand",6
"the past years",6
"the person who",6
"the right thing",6
"the start of",6
"the whole thing",6
"the world and",6
"the world to",6
"there are some",6
"there is an",6
"this is my",6
"this kind of",6
"this week i",6
"time to go",6
"to a new",6
"to all of",6
"to all the",6
"to be an",6
"to be back",6
"to be that",6
"to create a",6
"to do that",6
"to get up",6
"to go back",6
"to go out",6
"to have you",6
"to live in",6
"to make an",6
"to make the",6
"to make them",6
"to pay for",6
"to say the",6
"to see my",6
"to the point",6
"to the top",6
"to the world",6
"to those who",6
"to watch the",6
"trying to get",6
"trying to make",6
"up and down",6
"up in a",6
"up with the",6
"want to know",6
"was a big",6
"we had to",6
"we want to",6
"what's your favorite",6
"what i want",6
"what it is",6
"what the hell",6
"when they were",6
"who you are",6
"why do i",6
"will be on",6
"will not be",6
"will you be",6
"with a little",6
"word of the",6
"working on it",6
"working on my",6
"yes yes yes",6
"you at the",6
"you can find",6
"you for your",6
"you go to",6
"you guys are",6
"you in the",6
"you like the",6
"you like to",6
"you may be",6
"you may have",6
"you need a",6
"a cup of",5
"a few times",5
"a friend to",5
"a good one",5
"a great way",5
"a link to",5
"a list of",5
"a little too",5
"a long way",5
"a new one",5
"a place to",5
"a sense of",5
"a time when",5
"a ton of",5
"about it and",5
"about it i",5
"all of this",5
"am i the",5
"and can be",5
"and decided to",5
"and had a",5
"and he was",5
"and i would",5
"and in my",5
"and some of",5
"and the whole",5
"and this is",5
"and want to",5
"and we had",5
"appears to be",5
"are able to",5
"are in the",5
"are looking for",5
"are some of",5
"are the best",5
"are you reading",5
"around the corner",5
"as part of",5
"as to why",5
"asked me to",5
"at the beginning",5
"be a bit",5
"be a great",5
"be hard to",5
"be the best",5
"before it gets",5
"better than the",5
"bit of a",5
"brought in the",5
"but he was",5
"but i'm not",5
"but i can",5
"but i do",5
"but i just",5
"but it's not",5
"but there was",5
"but this is",5
"came up with",5
"can i get",5
"come back to",5
"compared to the",5
"could be a",5
"couple of weeks",5
"cup of tea",5
"day of spring",5
"did you do",5
"do have a",5
"do not have",5
"don't care what",5
"dont need to",5
"during the day",5
"excited to see",5
"feel free to",5
"follow me back",5
"for a moment",5
"for me i",5
"for more information",5
"for my new",5
"for stopping by",5
"for the past",5
"for the upcoming",5
"for you and",5
"from the 's",5
"front of a",5
"gave me a",5
"get a free",5
"get ready for",5
"get to work",5
"give me a",5
"goal is to",5
"going on in",5
"going to a",5
"going to go",5
"good to be",5
"got to the",5
"great way to",5
"ha ha ha",5
"had a dream",5
"had a good",5
"had a really",5
"had to get",5
"hang out with",5
"hanging out with",5
"has a lot",5
"has always been",5
"has nothing to",5
"have a chance",5
"have a new",5
