"term","freq","prob"
"class",1258,0.000313816742497398
"st",1256,0.000313317828757338
"looks",1252,0.000312320001277219
"else",1251,0.000312070544407189
"following",1249,0.00031157163066713
"doesn't",1244,0.000310324346316981
"seen",1244,0.000310324346316981
"stuff",1238,0.000308827605096803
"small",1235,0.000308079234486714
"fact",1233,0.000307580320746654
"forward",1230,0.000306831950136565
"guy",1218,0.000303838467696208
"thats",1218,0.000303838467696208
"he's",1214,0.00030284064021609
"word",1214,0.00030284064021609
"under",1211,0.000302092269606
"care",1208,0.000301343898995911
"baby",1207,0.000301094442125881
"using",1207,0.000301094442125881
"movie",1205,0.000300595528385822
"stay",1203,0.000300096614645763
"early",1198,0.000298849330295614
"news",1197,0.000298599873425584
"less",1194,0.000297851502815495
"face",1192,0.000297352589075436
"shit",1190,0.000296853675335376
"song",1189,0.000296604218465346
"able",1188,0.000296354761595317
"season",1170,0.000291864537934781
"ago",1169,0.000291615081064752
"thinking",1169,0.000291615081064752
"tweet",1169,0.000291615081064752
"words",1169,0.000291615081064752
"side",1168,0.000291365624194722
"minutes",1166,0.000290866710454663
"sorry",1161,0.000289619426104514
"mom",1160,0.000289369969234484
"second",1157,0.000288621598624395
"others",1150,0.000286875400534187
"taking",1146,0.000285877573054068
"ok",1136,0.000283383004353771
"sometimes",1135,0.000283133547483741
"past",1130,0.000281886263133592
"cant",1127,0.000281137892523503
"books",1125,0.000280638978783444
"quite",1123,0.000280140065043384
"against",1122,0.000279890608173355
"i'd",1107,0.000276148755122909
"children",1103,0.00027515092764279
"leave",1103,0.00027515092764279
"comes",1099,0.000274153100162671
"sleep",1097,0.000273654186422611
"needs",1093,0.000272656358942492
"guess",1092,0.000272406902072463
"hit",1090,0.000271907988332403
"writing",1090,0.000271907988332403
"means",1089,0.000271658531462374
"ask",1088,0.000271409074592344
"half",1082,0.000269912333372165
"playing",1074,0.000267916678411928
"beer",1071,0.000267168307801838
"enjoy",1064,0.00026542210971163
"seems",1064,0.00026542210971163
"business",1062,0.000264923195971571
"reading",1060,0.000264424282231511
"line",1059,0.000264174825361482
"bring",1058,0.000263925368491452
"couple",1055,0.000263176997881363
"car",1051,0.000262179170401244
"add",1050,0.000261929713531214
"month",1050,0.000261929713531214
"summer",1049,0.000261680256661184
"weeks",1049,0.000261680256661184
"women",1049,0.000261680256661184
"support",1048,0.000261430799791155
"red",1045,0.000260682429181066
"phone",1041,0.000259684601700947
"along",1036,0.000258437317350798
"glad",1034,0.000257938403610739
"hot",1033,0.000257688946740709
"perfect",1033,0.000257688946740709
"feeling",1031,0.000257190033000649
"ive",1028,0.00025644166239056
"heard",1020,0.000254446007430322
"buy",1019,0.000254196550560293
"what's",1014,0.000252949266210144
"meet",1005,0.000250704154379876
"there's",1004,0.000250454697509847
"social",999,0.000249207413159698
"case",995,0.000248209585679579
"didnt",994,0.000247960128809549
"talking",988,0.000246463387589371
"young",983,0.000245216103239222
"eat",982,0.000244966646369193
"often",982,0.000244966646369193
"lost",977,0.000243719362019044
"wrong",977,0.000243719362019044
"moment",974,0.000242970991408955
"share",974,0.000242970991408955
"list",972,0.000242472077668895
"number",971,0.000242222620798866
"s",967,0.000241224793318747
"special",965,0.000240725879578687
"instead",962,0.000239977508968598
"gets",961,0.000239728052098568
"become",960,0.000239478595228539
"however",960,0.000239478595228539
"reason",957,0.000238730224618449
"wow",957,0.000238730224618449
"problem",956,0.00023848076774842
"either",953,0.000237732397138331
"saying",948,0.000236485112788182
"hand",946,0.000235986199048122
"girls",945,0.000235736742178093
"let's",941,0.000234738914697974
"goes",939,0.000234240000957914
"welcome",939,0.000234240000957914
"months",936,0.000233491630347825
"hair",934,0.000232992716607766
"wanna",932,0.000232493802867706
"important",930,0.000231994889127647
"video",930,0.000231994889127647
"ya",930,0.000231994889127647
"late",929,0.000231745432257617
"hour",927,0.000231246518517558
"power",927,0.000231246518517558
